input_id,epsilon,softmax_rank1_idx,softmax_rank1_prob,softmax_rank2_idx,softmax_rank2_prob,softmax_rank3_idx,softmax_rank3_prob,softmax_rank4_idx,softmax_rank4_prob,softmax_rank5_idx,softmax_rank5_prob,softmax_rank6_idx,softmax_rank6_prob,softmax_rank7_idx,softmax_rank7_prob,softmax_rank8_idx,softmax_rank8_prob,softmax_rank9_idx,softmax_rank9_prob,softmax_rank10_idx,softmax_rank10_prob,softmax_rank11_idx,softmax_rank11_prob,softmax_rank12_idx,softmax_rank12_prob,softmax_rank13_idx,softmax_rank13_prob,softmax_rank14_idx,softmax_rank14_prob,softmax_rank15_idx,softmax_rank15_prob,softmax_rank16_idx,softmax_rank16_prob,softmax_rank17_idx,softmax_rank17_prob,softmax_rank18_idx,softmax_rank18_prob,softmax_rank19_idx,softmax_rank19_prob,softmax_rank20_idx,softmax_rank20_prob
11,0.1,278,0.9111871123313904,2000,0.0449389517307281,2998,0.0353460609912872,612,0.0036841940600425,10369,0.0032887619454413,343,0.0003857070114463,4257,0.000229768367717,5546,0.0001602220727363,29901,4.628958413377404e-05,22444,4.562062895274721e-05,884,3.827497494057752e-05,12992,3.61239435733296e-05,5642,3.595669477363117e-05,29871,3.593866131268442e-05,263,3.537099473760463e-05,15574,2.834524821082596e-05,5279,2.6498119041207246e-05,2869,2.5428927983739413e-05,4325,2.288242285430897e-05,856,1.823503953346517e-05
12,0.1,278,0.731712281703949,607,0.1517787277698516,22806,0.0978563725948333,1546,0.0040420587174594,19429,0.0027446902822703,825,0.0014557060785591,14325,0.0012113751145079,4956,0.0007522962405346,29973,0.0007283325539901,29901,0.0006415134994313,379,0.0005577118135988,12217,0.0005446106079034,7551,0.0005125006427988,445,0.0004330790543463,11563,0.0003493774565868,8449,0.000309396389639,263,0.000292999058729,19663,0.0002414768969174,856,0.0002303046203451,29889,0.0001618463284103
13,0.1,9428,0.8650976419448853,451,0.0343238748610019,263,0.0217429921030998,9630,0.0128631331026554,6345,0.0114213144406676,29901,0.0055832639336586,13,0.0039600674062967,385,0.0028689899481832,10914,0.0025516205932945,856,0.0025199025403708,5569,0.0019356579286977,6290,0.0015943682519719,11423,0.0009960503084585,10545,0.0009141761693172,12874,0.0008317360188812,2183,0.0008002916583791,7801,0.0006889056530781,1058,0.0006641374202445,278,0.0006203342345543,29892,0.0006092734984122
14,0.1,316,0.7526206374168396,897,0.2103116065263748,376,0.0076610166579484,1346,0.0058985650539398,278,0.0051057320088148,2772,0.0012920139124616,313,0.0010703573934733,360,0.0009464121540077,25348,0.0008268620586022,29901,0.0006913304096087,525,0.0005299153854139,1938,0.000446736376034,29892,0.0004106945416424,263,0.0003765888686757,437,0.0003526824293658,5129,0.0003299447416793,311,0.0003041049058083,5012,0.0002927048190031,2726,0.0002884181740228,319,0.0002853158221114
15,0.1,278,0.9917932152748108,29901,0.0009010271169245,451,0.0008158271666616,2000,0.0006078685983084,29973,0.0004907599650323,2998,0.0004481752694118,263,0.0003302542027086,884,0.0003270750166848,10664,0.0002678625460248,10423,0.0002535363018978,13,0.0002150505897589,3271,0.0001622523996047,856,0.0001602492848178,903,0.0001511588634457,14328,0.0001173055206891,5642,9.97097376966849e-05,29892,9.662475349614395e-05,2869,7.572369213448837e-05,5982,7.16571812517941e-05,13112,6.059923543944024e-05
16,0.1,29389,0.9036428928375244,2000,0.0524729676544666,2998,0.0054452503100037,9548,0.0043988237157464,29901,0.0033681115601211,856,0.0032909179572016,16852,0.0030369095038622,451,0.0028140794020146,2869,0.0020003453828394,13,0.0016764835454523,263,0.0016132381279021,4702,0.0015448526246473,278,0.0012320245150476,1019,0.0009863709565252,903,0.0009261087980121,4257,0.0008684750646352,29892,0.0006323318229988,22444,0.0005228350055404,11563,0.0005195257253944,6200,0.0003832328366115
17,0.1,28156,0.2508898675441742,6290,0.1693635880947113,5208,0.0760518461465835,29901,0.0708663538098335,856,0.0504987016320228,13,0.0501918047666549,263,0.0465317890048027,10537,0.0259983707219362,385,0.0220610816031694,903,0.0191704351454973,29973,0.0170170255005359,278,0.0161935929208993,19017,0.013411664403975,2023,0.0089967148378491,9638,0.0086856456473469,2595,0.0086187776178121,10255,0.0083383787423372,5332,0.0048588700592517,334,0.0046809678897261,4824,0.0044511831365525
18,0.1,607,0.5526973605155945,16078,0.2700221240520477,29901,0.0884298086166381,4275,0.0378956757485866,825,0.0184318926185369,278,0.0166841261088848,903,0.0094017433002591,16631,0.0010855040745809,14183,0.0005643704207614,13,0.0004740407457575,891,0.0003034465189557,856,0.0002977005497086,584,0.0002218096342403,302,0.0002135314280167,813,0.0001647728204261,4644,0.0001640421833144,7652,0.0001440599298803,3579,0.0001147145812865,29892,0.0001128220901591,448,0.0001000992560875
19,0.1,29871,0.9061866402626038,395,0.0178594589233398,14235,0.01649796590209,263,0.0110577093437314,278,0.0044644260779023,472,0.0039273425936698,3342,0.0036114531103521,1048,0.0031655470374971,903,0.0022038421593606,2820,0.001823813188821,29901,0.001670803874731,10087,0.0013068644329905,30081,0.0010793942492455,3889,0.001025048084557,12234,0.0008337341132573,259,0.0007945484830997,385,0.0006287721917033,825,0.0005356572801247,313,0.0005325786187313,451,0.0004997405339963
20,0.1,21767,0.949442982673645,903,0.017627390101552,405,0.0066426331177353,29901,0.0055506518110632,288,0.0054809330031275,13,0.0046857348643243,856,0.0018978141015395,451,0.0017101572593674,2869,0.0012620242778211,29973,0.0007443089270964,825,0.0003969004319515,26129,0.000379247998353,313,0.0002714395814109,22004,0.0002014923957176,263,0.000166302837897,29871,0.0001610221370356,1852,0.0001581032847752,29889,0.0001361992181045,7652,0.0001342962495982,14365,0.000125751728774
21,0.1,10255,0.9769040942192078,278,0.0096334563568234,29901,0.0021849768236279,10545,0.0015869189519435,385,0.0013761526206508,263,0.0012159048346802,697,0.0004524767864495,1146,0.0003306765283923,29420,0.0003064062038902,7664,0.0003018946736119,12255,0.0003003989695571,5642,0.0002966535103041,13,0.0002773806918412,16866,0.0002301780768902,27263,0.000220640329644,8564,0.0002190368977608,26921,0.0002130781504092,856,0.000212432918488,607,0.0001926976983668,22533,0.0001620543189346
22,0.1,278,0.9685146808624268,451,0.0052483659237623,884,0.0025134955067187,29973,0.0021059506107121,2869,0.0020871183369308,263,0.0016150886658579,29901,0.0009034615359269,5545,0.0008427670691162,491,0.0008397633209824,5982,0.0008165334002114,856,0.0007964865653775,29892,0.000644298212137,6200,0.0005845013656653,29871,0.0005627655191347,13,0.0004149580199737,13112,0.0003869291685987,297,0.0003788898175116,16631,0.0003468946379143,5279,0.0002983377198688,2845,0.0002575992548372
23,0.1,3144,0.7723700404167175,2894,0.0785801112651825,288,0.0404685586690902,26438,0.0322009027004241,5864,0.0193274058401584,29746,0.0162802599370479,22233,0.0076607512310147,263,0.0056890626437962,9687,0.0054565127938985,1559,0.0047832615673542,502,0.0031029756646603,2560,0.0017808271804824,13206,0.0013052987633273,8024,0.0011803023517131,22004,0.0010795166017487,278,0.000951213936787,825,0.0008217527647502,1023,0.0005219808081164,13,0.0003787288733292,330,0.0003570591798052
24,0.1,409,0.9991152882575988,922,0.0006871177465654,1737,0.0001055289976648,344,1.744856490404345e-05,8437,1.554244772705715e-05,15509,1.2619313565664925e-05,376,8.616620107204653e-06,269,6.711423793603899e-06,2008,6.378990747180069e-06,452,3.005028929692344e-06,1346,2.399604682068457e-06,7019,1.543687858429621e-06,1586,1.216310920426622e-06,525,1.1914028164028425e-06,11563,1.0474560667717014e-06,29901,1.0150909020012475e-06,13,7.933593337838829e-07,5129,6.870394031466276e-07,1879,6.494679496427125e-07,903,5.481135190166242e-07
25,0.1,29334,0.9105620980262756,2155,0.0139086255803704,13,0.0108407093212008,903,0.0093393772840499,2448,0.0067598856985569,856,0.0058992491103708,24206,0.0049346182495355,263,0.0040976349264383,451,0.0038805026561021,3082,0.0030192404519766,29973,0.0024339440278708,29901,0.0019275981467217,350,0.0017407923005521,1058,0.0015075664268806,385,0.0014427463756874,29132,0.0013615299249067,278,0.0010982222156599,29892,0.0009140356560237,2023,0.0008533783839084,20861,0.0006339484243653
